time,(G)
93.857143,-3.644223E-1
94.000000,-3.695003E-1
94.142857,-3.701089E-1
94.285714,-3.674365E-1
94.428571,-3.680350E-1
94.571429,-3.686854E-1
94.714286,-3.670514E-1
94.857143,-3.681360E-1
95.000000,-3.633709E-1
95.142857,-3.656525E-1
95.285714,-3.640170E-1
95.428571,-3.652573E-1
95.571429,-3.637949E-1
95.714286,-3.644843E-1
95.857143,-3.664341E-1
96.000000,-3.668279E-1
96.142857,-3.692609E-1
96.285714,-3.679961E-1
96.428571,-3.669288E-1
96.571429,-3.630579E-1
96.714286,-3.621465E-1
96.857143,-3.657303E-1
97.000000,-3.667702E-1
97.142857,-3.629613E-1
97.285714,-3.636983E-1
97.428571,-3.635021E-1
97.571429,-3.614369E-1
97.714286,-3.622214E-1
97.857143,-3.616691E-1
98.000000,-3.611701E-1
98.142857,-3.630839E-1
98.285714,-3.625979E-1
98.428571,-3.638180E-1
98.571429,-3.622820E-1
98.714286,-3.643934E-1
98.857143,-3.619532E-1
99.000000,-3.640487E-1
99.142857,-3.657823E-1
99.285714,-3.641497E-1
99.428571,-3.651809E-1
99.571429,-3.639016E-1
99.714286,-3.614268E-1
99.857143,-3.629671E-1
100.000000,-3.599615E-1
100.142857,-3.645924E-1
100.285714,-3.680393E-1
100.428571,-3.675850E-1
100.571429,-3.642636E-1
100.714286,-3.655241E-1
100.857143,-3.625791E-1
101.000000,-3.638728E-1
101.142857,-3.677826E-1
101.285714,-3.680725E-1
101.428571,-3.690662E-1
101.571429,-3.686306E-1
101.714286,-3.648218E-1
101.857143,-3.628575E-1
102.000000,-3.622041E-1
102.142857,-3.658789E-1
102.285714,-3.633738E-1
102.428571,-3.629368E-1
102.571429,-3.615018E-1
102.714286,-3.618075E-1
102.857143,-3.625993E-1
103.000000,-3.610576E-1
103.142857,-3.620902E-1
103.285714,-3.700570E-1
103.428571,-3.633767E-1
103.571429,-3.629627E-1
103.714286,-3.643992E-1
103.857143,-3.621840E-1
104.000000,-3.647569E-1
104.142857,-3.610403E-1
104.285714,-3.605456E-1
104.428571,-3.627450E-1
104.571429,-3.631300E-1
104.714286,-3.610778E-1
104.857143,-3.630204E-1
105.000000,-3.610850E-1
105.142857,-3.579914E-1
105.285714,-3.629916E-1
105.428571,-3.640819E-1
105.571429,-3.641396E-1
105.714286,-3.677148E-1
105.857143,-3.648492E-1
106.000000,-3.642449E-1
106.142857,-3.657260E-1
106.285714,-3.678417E-1
106.428571,-3.628503E-1
106.571429,-3.664789E-1
106.714286,-3.657029E-1
106.857143,-3.635137E-1
107.000000,-3.630579E-1
107.142857,-3.660880E-1
107.285714,-3.641468E-1
107.428571,-3.596514E-1
107.571429,-3.590053E-1
107.714286,-3.586130E-1
107.857143,-3.600509E-1
108.000000,-3.646876E-1
108.142857,-3.628950E-1
108.285714,-3.665019E-1
108.428571,-3.681071E-1
108.571429,-3.639160E-1
108.714286,-3.644598E-1
